Sauna Dome	Sauna Dome	Ritual/Ceremony	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM ']	http://fb.com/saunadome
Pee Funnel Depot	Heart Tribe	Care/Support	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM ']	Never squat over a port-o-potty again! Ladies, come get your personal reusable neoprene Pee Funnel. Pee standing up just like the boys!
Tsunami Tsnow Cones	Camp Tsunami	Food	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Tuesday, August 27th, 2019, 1 PM – 3 PM <--> Wednesday, August 28th, 2019, 1 PM – 3 PM <--> Thursday, August 29th, 2019, 1 PM – 3 PM <--> Friday, August 30th, 2019, 1 PM – 3 PM ']	We serve colors, not flavors! Tell us your favorite colors & our snow cone artists will morph a pile of ice into a work of art!
Moonshine Monday	Whiskey and Dust	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 2 PM ']	Start the afternoon right with some refreshing ice cold flavored moonshine, unlike the moonshine your Pappy used to make. Come relax with us, listen to some cool music and have some great conversation. Bring your cup and get your shine on.
Help! I'm a virgin!	Black Rock City Community College	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 1:30 PM ']	Are you a Black Rock City virgin? Want to get a quick download about what you need to know in order to make the most of your virgin experience in Black Rock City? Then come to Black Rock City Community College’s “Intro to your first burn”. This class will go over the basics of how to navigate your way around BRC, what services are provided here to help you, and basically all the stuff you really need to know to have the best burn possible. Come by, have a drink, listen to the lecture and have all your questions answered.
Best Butt Twerkshop	Best Butt	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 2:30 PM ']	You can twerk with us! Learn secrets of booty magic and body happiness. Pop it, bounce it, and… turn it upside down on our Twerk Wall. All levels.
The Rusty Speculum Bar	Planned Playahood	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 6 PM <--> Tuesday, August 27th, 2019, 1 PM – 6 PM <--> Thursday, August 29th, 2019, 1 PM – 6 PM <--> Friday, August 30th, 2019, 1 PM – 6 PM ']	Come unfuck your Burn with drink and game specials from around the world – daily themes hosted by our amazing international campmates.
Drink at the Crusty Burner	It Was Better Last Year	Adult-oriented	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM ']	We don't share the good shit. You'll get warm piss, cooler water, or maybe something extra special from our surly bartenders.
Fotune Telling, Shibari, and Ice Water Floggings!	Campocalypse	Adult-oriented	['Monday, August 26th, 2019, 1 PM – 3 PM ']	Your future foretold by the mystics of the far western coast, or Shibari Suspension Flight School, or the refreshing bite of ice water floggings!
Yummy Kava Bar	Yummy RUMInations	Ritual/Ceremony	['Monday, August 26th, 2019, 1 PM – 5 PM <--> Tuesday, August 27th, 2019, 1 PM – 5 PM <--> Wednesday, August 28th, 2019, 1 PM – 5 PM <--> Friday, August 30th, 2019, 1 PM – 5 PM ']	A refreshing and sensual oasis in the dust. Come share the sacred ceremonial root beverage of the Polynesian Islands. An alternative to liquor bars.
AMP’D YOGA	DISORIENT	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 2 PM <--> Tuesday, August 27th, 2019, 1 PM – 2 PM <--> Wednesday, August 28th, 2019, 1 PM – 2 PM <--> Thursday, August 29th, 2019, 1 PM – 2 PM <--> Friday, August 30th, 2019, 1 PM – 2 PM ']	http://amplifiedyoga.com
Dust A Move	Cabana Club	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 5 PM ']	Come join us for our annual Old School Hip Hop party
Mom and Dad Are Here To Help!	Camp Mom and Dad	Care/Support	['Monday, August 26th, 2019, 1 PM – 5 PM <--> Wednesday, August 28th, 2019, 1 PM – 5 PM <--> Friday, August 30th, 2019, 1 PM – 5 PM ']	Mom and Dad are here to help! Soak your feet, get a band aid for that boo boo, pepto for your tummy, whine about your SO, and put some sunblock on! Don't you know radiation is bad for you?!?
Bowie ★ Blackstar Vinyl Sanctuary	Heart Tribe	Other	['Monday, August 26th, 2019, 1 PM – 8 PM <--> Tuesday, August 27th, 2019, 1 PM – 8 PM <--> Wednesday, August 28th, 2019, 1 PM – 8 PM <--> Friday, August 30th, 2019, 1 PM – 8 PM <--> Saturday, August 31st, 2019, 1 PM – 8 PM ']	maathazelgrove@gmail.com
IDEATE: YES, NO and MAYBE	IDEATE Stage	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 2 PM ']	http://www.ideate.org/
Breathwork Blind Dating	Floasis	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM ']	Leverage the power and potency of breath to ignite connections with loved ones new and old while exploring play, discovery, and deep (playa) questions
Public Engraving Station	Sauna Dome	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM <--> Saturday, August 31st, 2019, 1 PM – 4 PM ']	http://fb.com/saunadome
Magic & Miracles in the Dust	Black Rock Mystics	Kid-friendly	['Monday, August 26th, 2019, 1 PM – 2 PM <--> Tuesday, August 27th, 2019, 1 PM – 2 PM <--> Wednesday, August 28th, 2019, 1 PM – 2 PM <--> Thursday, August 29th, 2019, 1 PM – 2 PM <--> Friday, August 30th, 2019, 1 PM – 2 PM ']	Be amazed and amused by our crew of world class close-up and parlour magicians, many of whom are members of the famed Magic Castle in Hollywood. Visiting magicians are welcome to perform as our guests, as well. Seating is limited so try to arrive early!
Interaction Cafe	Interaction Café	Other	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM ']	Wanna interact? We serve interactions of all kinds. Playful, musical, verbal, meaningful or ridiculous...whatever you choose from the offerings on your server's menu. Perhaps you'd like to start off with a casual conversation for an appetizer, engage in a crazy game for an entree and end with a song for dessert while you drink in the moment. Co-create the burning man experience you want. Once you're there, it's hard to leave, cause you never know what's going to happen next in our cafe!
Circus Stilt Walking Lessons	Red Nose District	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM ']	Ever want to be three feet taller? Yes you do!! Come learn to walk on Circus Stilts. Stay and show your skills at the Stilt Bar Happy Hour.
Croquet Tournament with Alice	Alice in Slumberland	Game	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Friday, August 30th, 2019, 1 PM – 3 PM ']	Having trouble scoring on the playa? Come play with us - on the largest croquet court in BRC! Do you have what it takes to win?
It's Watermelon Time	Melon Rouge	Food	['Monday, August 26th, 2019, 1 PM – 5 PM <--> Tuesday, August 27th, 2019, 1 PM – 5 PM <--> Wednesday, August 28th, 2019, 1 PM – 5 PM <--> Thursday, August 29th, 2019, 1 PM – 5 PM <--> Friday, August 30th, 2019, 1 PM – 5 PM ']	What’s better than refreshing watermelon slices on a hot playa day? If you answered “nothing,” then this snack time is for you! Swing by for a slice or five of your favorite summer fruit, and take a load off in our Melon Lounge communal chill space. Beat the heat stroke by cooling off in our swamp-cooled melon dome! Come for the watermelon, stay for the fruity sweet company!
Zip-thena Warrior Crown Making	BRC HOA	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM ']	amelia.tetterton@gmail.com
Official Monday Make-out Party	8-bit Bunny	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 5 PM ']	It's make-out Monday! Start the week off right. Play spin-the-bottle, or volunteer at our kissing booth. Minty drinks provided.
Bicycle Blings and Dating Dreams	Club Neu Verboten	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 3 PM ']	Have a wheely fun time! Lights, flowers, action.... Decorate your bike over a drink or two. Who knows who you might be riding into the sunset with.
Make Your Own MOOP Bag	Hibernaculum	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 2 PM ']	Get creative with a super stylish, playa-friendly MOOP bag to keep or gift. Use our prepared patterns, choose from a range of colorful fabrics and trimmings, add ties and MOOP lettering - and you are good to go. Suitable for all skill levels including crafty beginners.
Pussy Day Spa	Pussy Day Spa	Adult-oriented	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM <--> Saturday, August 31st, 2019, 1 PM – 4 PM ']	pusdayspa@gmail.com
Consent is Sexy	CATWORLD	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Wednesday, August 28th, 2019, 1 PM – 3 PM ']	Relaxed open discussion about consent and its nuances in a safe space to be an advocate for celebrating no’s, yes’s and everything in between.
Fucking bitcoins, how do they work?	Uli Baba & the Horny Thieves	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM ']	Did you ever wonder how to get rich from speculating on bitcoin? Keep wondering! ...and shame on you. Did you ever wonder how the technology behind cryptocurrencies and blockchain actually work? Get pissed from talking to a lying computer scientist about it.
Naugh-Tea Time	Illuminaughty	Food	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Tuesday, August 27th, 2019, 1 PM – 3 PM <--> Wednesday, August 28th, 2019, 1 PM – 3 PM <--> Thursday, August 29th, 2019, 1 PM – 3 PM <--> Friday, August 30th, 2019, 1 PM – 3 PM ']	Come enjoy afternoon tea and naughty libations with travelling carnies of the playa! It’s going to be classy as fuck.
How to Human @ The Lions Den	The Avant Yard	Performance	['Monday, August 26th, 2019, 1 PM – 2 PM ']	https://www.facebook.com/The-Lions-Den-319291725683245/
Mist Match Mysteries	Frogma	Kid-friendly	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM <--> Saturday, August 31st, 2019, 1 PM – 4 PM ']	Escape the heat of the day in our covered misting/lounging tent. Come for the mist, stay for the Surrealist Debate interactive game, facilitated daily
The Yum Cart	Yummy RUMInations	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 5 PM <--> Tuesday, August 27th, 2019, 1 PM – 5 PM <--> Wednesday, August 28th, 2019, 1 PM – 5 PM <--> Friday, August 30th, 2019, 1 PM – 5 PM ']	All tastes both real and imagined await you at the fabulous Yum Cart. Come savor the infinite possibilities with our trained Taste-ologists!
Kombootcha Happy Hour	Boots & Cats	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM ']	Enjoy cold kombucha and playa views from our two-story deck. Option to make your kombucha an alcoholic cocktail if you are 21+.
Men's Hip Opening	BAAAHS Station	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 1:30 PM <--> Wednesday, August 28th, 2019, 1 PM – 1:30 PM ']	Men's hips are unique. The tension we hold originates in the mind unlock your mind unlock your hips.
The Parasol Academy	Duck Pond	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 5 PM ']	https://www.facebook.com/duckpondcamp/
Essensual Oiling	10&H	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 2 PM ']	https://www.facebook.com/events/442956009621438/
OPEN MIC at The Lost Penguin cafe	The Lost Penguins	Performance	['Monday, August 26th, 2019, 1 PM – 5 PM <--> Tuesday, August 27th, 2019, 1 PM – 5 PM <--> Wednesday, August 28th, 2019, 1 PM – 5 PM <--> Thursday, August 29th, 2019, 1 PM – 5 PM <--> Saturday, August 31st, 2019, 1 PM – 5 PM ']	http://www.lostpenguincafe.com
How Not To Lose Your Shit	Tetrix	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 2 PM ']	Don't lose your shit when you lose your shit. Label your bikes, phones and even kids, so they can come home when they go walkabout.
Tango at the Barre	Mirage Garage	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Wednesday, August 28th, 2019, 1 PM – 3 PM ']	pcarnabuci@optonline.net
Tango Argentino dancing + lesson for beginners	Dr.Baron von Realz, Esq. Sideshow	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM ']	Balance your body, embrace your partner, feel the position, move as one on the dancefloor. Tango is a slow motion partner dancing style from Argentina. Learn the basics in group lessons from 1 – 2pm and enjoy dancing a free tango milonga from 2-3 pm. No need to bring a partner: We rotate partners every 3 dances.
I love myself workshop	Connect MOAR!	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 1:30 PM ']	http://www.cevrev.com
Cornstar Photo Shoots	Cornstars	Adult-oriented	['Monday, August 26th, 2019, 1 PM – 2 PM <--> Tuesday, August 27th, 2019, 1 PM – 2 PM <--> Thursday, August 29th, 2019, 1 PM – 2 PM <--> Friday, August 30th, 2019, 1 PM – 2 PM ']	Peel off your husk, try on some Cornstar gear and snap a Polaroid for our “Vintage Corn” B&W photo session - sideburns optional. Check out the photos from the other cast members in the Director’s Lounge as we review the dailies!
Edges of Intimacy: Real, Raw, Refined	Camp Contact	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM ']	How can we play our edges connected to our deep longings, our present desires and our soulful dignity? How do we show up honoring our need for safety without being stuck in limiting fears of the past. Exploring edges of present experience welcomes the possibility of past triggers. It is in these 'sensitive' spaces that we stretch and grow and Life itself takes on new dimensions. Every participant will choose the level of 'play' they engage in... Mild, Medium or Spicy!! In this well held and curated space, you will have the opportunity to create or recreate experiences that you most desire in the way that you want them. This is what you came to the Playa for... Led by master somatic facilitators John Michael (Pleasure) and Steffi Seefeld (CuddleSlut) of Camp.
Pastie Station	Nipple Crime	Adult-oriented	['Monday, August 26th, 2019, 1 PM – 5 PM <--> Tuesday, August 27th, 2019, 1 PM – 5 PM <--> Wednesday, August 28th, 2019, 1 PM – 5 PM <--> Thursday, August 29th, 2019, 1 PM – 5 PM <--> Friday, August 30th, 2019, 1 PM – 5 PM ']	Come and design your own custom pasties at our pastie bar and then enjoy a cold drink while comparing your creations with others.
Flow Arts, Juggling, Yoga, and Dance Workshops	Camp Kinetic	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 7 PM <--> Tuesday, August 27th, 2019, 1 PM – 7 PM <--> Wednesday, August 28th, 2019, 1 PM – 7 PM <--> Thursday, August 29th, 2019, 1 PM – 7 PM <--> Friday, August 30th, 2019, 1 PM – 7 PM ']	http://campkinetic.org
Decorative Rope Ties	Bad Boy's Discover Your Kinks	Adult-oriented	['Monday, August 26th, 2019, 1 PM – 2 PM ']	Custom rope decoration for your body. Open whenever staffed.
SNOW CONES at The Lost Penguin	The Lost Penguins	Food	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM <--> Saturday, August 31st, 2019, 1 PM – 4 PM ']	http://www.lostpenguincafe.com
