#Octothorpe	5:45 and I	Come #hashtag with us
#happylovejoy	9:00 and D	
Saltkin	5:15 and E	Salt is survival. Salt is balance. Salt is preservation. Salt is life. Saltkin invites all of Black Rock City to celebrate, consume, and learn mostly true facts about salt.Come bring your sweaty self and replenish yourself with our cold electrolyte drinks and salty snacks. Make your own flavoured salts during our workshops! And while you're here, stop by the Salt Museum to learn questionable facts about the history, philosophy and alchemy of salt!
Salty Jack's	9:00 and G	Camp Salty: Day and night we are the local, deep oceanic dive bar of the [Tokyo Sector]. “Naughtycal” themed, we are your seafaring safe haven from the fervor of the playa playing 80’s, R&B, Soul, Blues, Hip Hop, New Wave, & Punk.
Salute Your Jorts	5:00 and D
Sauna Dome	8:15 and C	Empty your mind, purify your soul, feel amazing and refreshed at the Geodesic Sauna Dome. Comes with experienced “sauneers” who have traveled from the land of 2.5 million saunas, Finland, to bring this hot and burning Sauna experience.
Savage Kingdom	2:30 and 2400	We are a collection of burners from all tribes embracing our primitive nature...Savage Kingdom is a camp of veteran and virgin burners alike that have all come together for one purpose:WE ARE HERE TO CONTRIBUTE OUR SHARE TO THE BURNING MAN EXPERIENCE AND HAVE AN AMAZING TIME WHILE DOING IT.The people of Savage Kingdom come from all savage corners of the globe once a year to take part in the best week on the planet. We all pitch in our time and effort to run a truly unique and memorable camp and art car, Savage Island, from which we throw both in-camp and deep playa events.We welcome all people to our camp and treat our guests from other tribes as family!
Scar Bar	4:15 and E	Come show us your scars and tell us some tales. We offer green tea and whiskey for your troubles. Bar hours are M-F 12pm - 4pm with some late night happy hours through out the week!
Scarbutts Coffee	8:00 and B	Serving hot & cold coffee with brisk spankings
Second Wind Pirate Cafe	4:30 and E	Second Wind Pirate Cafe will fill that gap right after dinner time, but before party time. That special time when we all need a little pick me up before going out to battle a long night of partying. Second Wind Cafe will provide caffeinated drinks, tea, pirate games & sea chanties. We will be open to all revelers who want to prep for a long night of fiesta, but are not quite ready for the alcohol to begin.
See You Next Tuesday	8:45 and H	We are a bunch of Aussies bringing our flavour to the playa.Down under beats, snacks, and drinks will be enjoyed by all passers by who are lured into our LED dome. Come get it.
Serendipitea	2:30 and A
Shady Hoop Camp	4:45 and G	Extra shade in your life: sunglasses/parasols & hand fans. Hoop lessons/silk screening/Oracle card readings/hat decorating workshop/reusable plate giveaway!
Shady Waffle	7:30 and B	)'( Best breakfast restaurant on the playa and the crappiest bar, Touchy Subject. 7:30 Plaza. NOTE: Waffles not included. #shadywaffle #burningman
Shaman Dome	6:45 and G	see schedule for workshops
ShangriLa	4:00 and F	ShangriLa is a Wine Camp with a Yoga Problem. We create an ambiance where people on the playa can spend the entire day hanging out. We have a chill spot, daily yoga classes, Weinkeller ShangriLaLa daily happy hours, wine tastings and more…
Sharkey's Bar and Lounge	8:00 and C	(in)famously lively and insanely social bar serving cocktails and libations 
Shipwreck Tiki Lounge 	6:15 and C	Come visit the best damn tiki lounge you’ll ever find on or off playa. Beware of cannibals!
Siberian Electric Company 	3:00 and B	Radioactive Vodka Bar
Silver Spoon	7:15 and G	We at Silver Spoon cafe will feed you. When you sit down at one of our tables you get to be spoon fed a small but delicious meal by one of our servers. You can also get involved to feed other guests if you wish. All we ask is that you consider leaving us a life tip on our life tip board. It can be about relationships, loss, technology or just food; anything goes. We can also serve you a tasty drink in case you're not hungry. 
Simian Akademy	7:15 and E	Bike broken and nowhere to turn? Well, you may be ‘all thumbs’ but if at least two are opposable, we can help you fix it! Here at Simian Akademy, our mission is to help you gain the skills necessary to adapt to today’s dynamic, ever-changing playa environment. Our dedicated team of trained monkeys will show you where it goes and how to work it. If a trained monkey can do it, you can too!Looking for a truly unique and interactive experience? Come visit the Olfactorium where our Mistress of Scent will concoct a custom perfume just for you, based on your unique, personal preferences.Feeling cranky from the heat? Your new best friend getting on your nerves already? You need to CHILL THE FUCK OUT AND COLOR! Come visit our shaded dome to relax and color your frustrations away.New this year: We will be a pop up bar with Golden Guy on Wednesday night. Come visit the Sea Monkey Bubble Bar for some libations and snacks in our underwater themed space. 
Sk8 Kamp	9:45 and 2400	Black Rock City’s 24/7 Skatepark
Sketchy Camp 	5:45 and I	Come get your “art on” and release your inner child! We cater to burners aged 3 to 103!! Sketchy camp will be open daily for over-sized group coloring, sketching and mug shot polaroids. Stay to enjoy our hands-on art games and activities such as: Roll-a-Burner, freaky hand or metamorphosis sketching, and Squiggle drawing, just to name a few! All Burners welcome! No artistic ability or experience required.
Skrambles**!*	9:15 and C
Slippery Tentacles	4:45 and H	Art Support Camp for Niloticus, Tatanka and Containerisation
Slushious 	6:30 and E	Black Rock City’s most famous boozy slushie parties.
Slutgarden	8:00  and 2400
Snow Cone Zone	7:30 and B	Snow Cones with 6 flavors
Society for Temporal Preservation	5:00 and C
Solo Solos Camp	2:15 and C	Support camp for Kamimura’s sculptures and Furuki’s original dress performance.
Sonic Soul Tribe	2:00 and A 	Our Soul is SOUND! Join our Tribe and dance the night away with our house and special guest DJ’s. Sound is our passion, and we bring it to you BIG!We bring you an interactive visual delight of art, lasers, video and lighting, dancers, fire performers and other surprises. Find us at camp during the day for workshops, live music & a safe space for meditation and reflection. Join the TRIBE!
Soon To Be Infamous	8:15 and B	Your burn is Soon to Be Infamous! Stop by and decorate an LED bike flag with your playa name and address during our Don’t Fucking Leave Your Fucking Bike on the Fucking Playa! Bicycle Flag Creation Station Events and pledge to put an end to bikes-as-moop.
Soul(ar) Society	8:15 and C	A Seattle-based group of misfits providing solar energy, tasty beverages and legitimate playa experiences since 2015. Cruise through and enjoy our evening hookah lounge and tea garden – Or chill in our shade – All things necessary to reset, re-charge and power through.
Soundscapes	2:15 and H	Soundscapes is a community of burners from the orient, that have been tasked to build a platform that inspires a sense of culture and community through sounds that uplift the human spirit. Or “Soundscapes”. Our community is coming together to Burning Man for the first time. 
Space Goats	7:00 and B
Space Hole: Mist Opportunity	4:45 and F	Misting in the street
Space Punks	3:45 and E	Featuring the Electrick Cinema with themes changing nightly. The SonicBoom Saloon will be open midday for brown and clear drinks and whip cracking lessons. PLUS the Starliner Stage, a performance platform, open daily, to anyone.. We provide all the instruments and amplification. 
Space Racers	7:45 and G
Spanky's Wine Bar (and Village)	4:00 and D	The infamous crown-jewel of Burning Man bars. Morning, noon or night, there’s always something happening at Spanky’s. Come for the kink… stay for the wine. Enjoy our rides & attractions day or night. Come by in the mornings to enjoy the antics of Morning Painjoy Radio. Learn about kink and consent at one of our early-afternoon Spanky’s University (Spank U) classes. Various massages and hairwash is available. DJs spin daily/nightly. Themed parties.Games and contests. There’s something for everyone at Spanky’s. 
Sparkle Donkey Village	8:30 and A	Miso soup! Tea! Lectures! Events! If you are a work horse, come have some sparkly fun.
Sparkle Love Oasis	7:45 and E	Beautiful Oasis lounge offering non alcoholic drink in the heat of the day.
Spirit Dream	4:45 and E
Spooky Rooster's Tattoo Parlor	3:15 and H	Come be transformed!Decorate that dusty body of yours to match the beauty of the joyous inner you. Our artists provide a variety of temporary body art options to festoon your flesh from your forehead to your footsies. Or, if you’re feeling artistic, you may use our supplies and do it yourself. We ain’t mad.Not ready to be a canvas, yet? Wet your whistle in our bar while you work up your courage. And, if you’re feeling especially brave, you can dare our rideable giant pinwheel. The rotating cross represents the solar year as well as the regeneration of cosmic life.So, recreate with us and be refreshed, renewed, and resplendent.
Spoonful of Friends	7:45 and C	We organize 3-course gourmet dinners served alfresco banquet style every-night for 60+ new friends !During the day, come and relax in our lounge or meditate in our dome. We will also offer a variety a day time activities: art and beer, tea and meditation, healing session…
Squeebee's Yacht Club	4:15 and C	Squeebee’s Yacht Club at 4:15 & C is a Burning Man Collective and Theme Camp based out of Sacramento.Formally know as Don't Know Why Not (DKWN) 
Stag Camp	8:15 and D	At Stag Camp, we invite anyone and everyone (drama free) including singles, couples and small groups from all walks of life. We have no strict regiment of things to do or fees to pay. We all just come and hang out, creating a community among ourselves that is unique, fun and will be whatever you make of it!
Star Star Roadhouse	9:00 and G	We are proud to present our new production MetamorphoSex!Coming to Black Rock City 2019Directed and choreographed by Elizabeth Castaneda
Star Whores Cantina	7:45 and E
StarBarf	3:15 and E	Interactive performances, absurd theatre, climbable aerial dome, poetry bar
Stardust Lounge	8:00 and C	Enter an interdimensional portal that leads to a magical experience comprised of love, silliness, and sparkly things! Stardust Lounge is an eclectic pit stop for dusty travelers on their inter-playatary journeys. The three sections of the camp--the Casino, Spa, and Wedding Chapel--offer visitors a fun blend of rituals, games, and opportunities for self-care.
Steam Bath Project	8:00 and E
Steam of Life	3:30 and E	Steam of Life is a place for tranquility and contemplation. It’s a process of rejuvenation by the elements of Finnish nature and wisdom, taking one from birth to death and after. It offers a calm heaven to be in peace, or in heat. In this shared steam and space one can find healing or joyful experiences.
Stellar Dusty Moon	4:15 and D	We like to shake our butts in outer space
Sunnystan, et al	4:10 and J	A hand full of members of this camp are Black Rock Rangers. 
Sunrise Diner	4:00 and A	Hot breakfast sandwiches & coffee in a retro diner daily
Sunrise Tavern	2:30 and D	Daily breakfast and afternoon bar. Home of Stardust and Fjorgyn art cars
Sunset Alert	3:30 and E	Sunset Alert invites you to celebrate and savor the beautiful sunsets of Black Rock City. Come howl at the setting sun while participating in sunset singalongs, crafts, yoga, spa treatments and more. We are an intergenerational camp and welcome participants of all ages and physical abilities. AROOOOOOOOOO!
Sunset Lounge 	9:15 and E
Sunset Portal	3:45 and B
Suntrakker Camp	6:50 and E	Ticket Art Gallery / Margarita Bar / Career-Life Planning
Suspended Animation 	7:00 and B	Suspended Animation is a large Burning Man camp dedicated to kink, and in particular to suspension bondage. We host a wide range of events including classes, performances, play parties, guerrilla bondage, and bondage rides.
SwagMart	6:00 and A	SwagMart is a Oasis of creativity and SWAG Morning Coffee by Matts Time Travelling Coffee Machine, Afternoon Lorie's Necklace factory, Evening Todd'samazing Burning Man Branding designs for your Boots, Hat's, Belts etc.And Pop Up Swag Pin's & Necklaces, Costume Trophies and Post Cards.We collect STICKERS STICKERS 
Swig-n-Swing	815 and D	Swigs, Swings, music, dancing, two viewing platforms, daily themed events, interactive art installations, cocktails, beds, swinging saloon doors, LED mapped lighting will absolutely encourage anyone interested in radical self expression and inclusion to ditch their bikes, park their mutant vehicles and come kick up some dust with us making sure to LEAVE NO TRACE upon exiting BRC.
Swing City	9:00 and E
Swiss Chalet	2:45 and B	The Swiss Chalet is a camp for Swiss, expats and admirers of Swiss engineering precision to come together, share a drink and watch the enthalpy of propane produce marvelous wonders.
Swoon	6:00 and I	Art support for Stone 27
Synapse Conduit	9:15 and D	Synapse Conduit is an Oakland-based camp with the goal of making connections and providing a safe space. We host a day bar with killer drinks, participate in building playa art, fun daily activities and more. We are a multi-generational adult camp ranging in age from 23 to 68. In conjunction with our sister camp Corn Stars we run a deep playa bar and encourage visitors to our camps to check out both groups. Come by for a drink, have your fortune told, your tarot read, henna applied and leave feeling like the king/queen of the playa.
Syncytium	3:30 and 2400	We bring fire art, flow performers, a great bar, fun djs, and a huge cast of weirdos. 
T-Car	2:15 and H
TETRIX	9:30 and G	Home to a bunch of Aussies welcoming you to the humble abode of the Stargazer Artcar. We will be throwing daily chill out parties from 2pm-6pm (Tue-Fri) at the camp, so come party with us and then hop aboard the Stargazer for a journey out to deep playa. We will also be offering a range of creative workshops, talks, yoga and meditation practice, and bike morphication station. 
THE BELLIGERENT GAP	6:00 and I	THE BELLIGERENT GAP here again. We are a Western-themed, homebrew bar serving up cold homebrewed beers, lively events, a healthy dose of perversion, and just the right amount of heckling to the fine citizens of BRC. THE BELLIGERENT GAP is home to the highest caliber of assholes, perverts, andshitlords you’ll find anywhere on playa.
THE HIVE	8:00 and 2400	The Boston Hive
THairAPY Salo(o)n	6:45 and C	Hair Salon and Kiki Bar
Tacocat Tea Party	3:15 and F	Come and drink tea! Eat cookies! Wear hats! Talk to cats!
Tacoma is for (Ghost) Lovers	3:30 and F	Black Rock City Shoe Repair, Church of the Holy Ghost
Tajine Tonic	9:45 and G	Art Car Camp and Couscous on Tuesday eve at 6PM
Tarna	3:30 and 2400	Home to Tarna the Jackalope Mutant Vehicle
Tarwater 	5:45 and E	Games, boutique, books
Tautology	8:15 and B	We are Tautology, we do what we do. Come by to Ask an Expert, use the Time Telephone, or be transformed in the Glorious Hole.
Teacher Money	3:15 and F	Teacher Money is a place to let go and practice flow. Here our main attraction is a 15×15 foot interactive virtual reality tent for burners to experience a flow inducing interactive physics sandbox of 4 million particles. It is a relaxing and engaging universe which responds in completely unique ways to the personalities and interactions of each individual burner. The intrinsic qualities make it a perfect instrument to bring the viewer into states of flow. Each experience is unique and cannot be revisited, making every moment precious. Come make some art, create a light shows, be a god and build nebulae. We have variety of ways to capture images and video performances. We encourage burners to bring a USB drive or SD card to bring their art home.
TechnoGeckos AKA DiscoFish	4:15 and K	Mutant Vehicle Camp - ELECTRIC AUTONOMOUS MUTANT VEHICLES
Teddies	4:30 and B
Temple o' Flying Spaghetti Monster	3:00 and E	FSM-themed bar and walk-in Pastafarian wedding chapel
Temple of Bacchus	8:20 and E	Wine Garden
Temple of Unitea	5:00 and B	Tea Culture & Traditions
The 'Burbs	3:15 and D	A work support camp for Emergency Services participant volunteers
The Ancient Cult of the Alligator	4:15 and D
The Argonauts	4:45 and D	Drop by to eat, drink, and take the Argonauts pledge:-Cherish the Unknown, the Uncertain, the Untried-Challenge Darkness, Dogma, and Fear-Welcome the Strange, the Dirty, the Odd, and-Seek Treasure, Passion, and Thyself.
The Black Lodge	8:45 and F
The Burning Band	7:15 and 2400	Live music from living wind musicians
The Camp for Sensual Pleasures	4:00 and E	The Orgasamator Experience -- Enjoy intense physical pleasure in an environment that is safe, comfortable, sensual and private. You will be in complete control, and the experience will be fine-tuned to your specific desires.Eros Tangeré -- An erotic sensation performance to rock your world and awaken your senses. Unlike anything you've ever experienced before. Guaranteed!
The Church of the Open Mind	4:45 and I	The Church of the Open Mind Mutant Vehicle Support Camp. Come by for a ride!
The Dead Battery Society	6:45 and G	We recycle batteries and run a bar of course.
The Dump 	6:00 and A	Participatory live music lounge with music from a by-gone era. Come sing, dance, play our piano, and join-in as we all share in electronic-free acoustic joy!
The Dumpling Trap	8:30 and A	The Dumpling Trap is an old-school neon Chinatown lounge that serves dumplings, plays trap, and engages guests to have real conversations with the hosts and with each other.
The DusTea Den	3:30  and 2400
The Dusty Alchemist	5:00 and A	Welcome to out Alchemists Lab: Potions and Magic to transform yourself + visit our mad doctors and nurses for a check-up!
The Dusty Taint	4:00 and B	The Dusty Taint is back for 2019 with more shenanigans than ever! We are a welcoming group of fun loving burners with a camp focused on laughs, and getting to know our fellow burners. In a world of hate speech, cultural appropriation and a handful of loud shitty people, we look to bring love and unity. We want to bring other cultures into a new and ethnically commingled environment celebrating our similarities, loving the differences and learning from each other. We are working to build a better community both within the camp and affecting Playa interactions as well with sexual inclusion and a melding of ideas and experiences. Come by for a tasty beverage and play "The Game!" .... We dare you! We are burners from all over the East Coast and we look forward to seeing all of your beautiful faces soon!
The Dwelling Dwelling	3:45 and H	Art support camp for The Dwelling
The French Maid Brigade	3:45 and G	We are sexy filthy French maids and we dust the playa to clean you and your dirty camps!!!
The Friendzone	6:15 and E	The FriendZone is a safe haven for all wayward wonderers, burnt out burners or anyone otherwise needing to escape the playa.
The Geckos	7:15 and F
The Golden Cafe	8:30 and 2400	Welcome to the Golden Cafe, a casual sidewalk bar offering exotic cocktails and live music since 2003! For those daring enough to stray off the beaten path and enter our nondescript gold dome, the Golden Cafe offers elegant glassware filled with carefully chilled spirits, live original music utterly devoid of electronic drumbeats, a supper club featuring candlelit gourmet dining, and other wonders...
The Green T	7:45 and G	The Green T returns to serve you a refreshing cup of hot or cold green tea, play music & event info, and host a variety of fun-filled events.
The Hanging Gardens	5:15 and H
The Hive	9:45 and C	The Hive is a collective of women artists, priestesses, performers, and shamans that seek to awaken the empowered sacred feminine through multidisciplinary art installations, temple spaces, ritual theater, and voluntary hypnosis. Our offerings put the participant at the center of the artwork and asks them to engage with will and imagination to co-create individualized experiences of the sacred. We are building the Bee Divine Hive Temple.
The InnerSun	8:45 and G	Home  of Temple and Man builders, we will inspire human connection through art, when the pressure to divide is building around the world.
The Janky Barge	4:15 and H
The Kazbah	10:00 and E
The Last Word	5:45 and I
The Living Room	2:30 and A	We are The Living Room, an artistic community that arises from the dust of Black Rock City to welcome all home with tea, yoga, music and good vibes.
The Lost Penguin Cafe	3:15 and Esplanade 	A Hospitality Camp that provides the Black Rock Community a place to relax, enjoy good music and conversation. We graciously offer cold snow cones, lemonade and chocolates during the day. At night we provide entertainment in the form of music by a variety of performers, bands and our own in-house produced Lunacy Cabaret and refreshment in the form of wine and chocolate.
The Lusty Chanterelle Kombucha Bar 	4:15 and A: 
The Macaronis	7:45 and D	The Macaronis - on the playa - will pay homage to the courageous outrageous queers of 18th century London, who wore giant wigs and lived giant lives, flying in the face of convention and conventionality. They were the original radical self-reliants, and our aim is to honor them and celebrate their legacy.With that in mind, we'll be providing an experience that's part theatre, part drag, part music, with doses of subversive humor, and plenty of champagne.The center of Macaroni life in 18th Century London was the local Molly House, and we'll be recreating that as our main tent, where most of our events will take place. We'll have Wedding ceremonies, Birthing parties, DJ Academy, a speakers corner and a daily filthy puppet show.
The Mansion	8:30 and H	A sexy, fun camp for dancing, karaoke, partying.
The Meowsistance 	4:15 and I	The King Mahtusahn is from an alternative universe of yestertomorrow, where humans have been fighting a losing battle against common house cats. Human survivors have united to create a war machine that will turn the tide of battle.
The Mystical Order of Dust and Shadows	4:00 and F
The New Barbarians	8:00 and A	Slangin delicious weiners in the mouths of hungry burners since 2011
The Petting Zoo	2:15 and D	Day bar - Bring your cup, ID and sense of humor!
The Phage	4:00  and 2400
The Pickle Frontier	7:00 and F	Pickle back dive bar
The PinkSpot	2:15 and D	Come join the bunnies for good beats, LED badminton, bandanties workshop & yoga on Thurs, vinegar foot baths & more! The Big Bunny art car lives with us, so hop on anytime you see us either in camp or on the playa 💞🐰💞
The Recycled Hoh	4:15 and E	Pacific Northwesterners are a bunch of tree huggers that love moss, mist and yer mom. You’ll understand why when you meet our tree that hugs you back in our rainforest made of recycled and reclaimed trash.
The Shire	4:45 and B	Ohhh, by golly, you’ve found it! Middle Earth’s best kept secret: The Shire. “Speak friend and enter,” says our circular door. Step in and you’ll find that we hobbits are a warm, snuggly, and (most of all) playful bunch. We host warm’n’fuzzy workshops like Pre-Kissing Tension Building, Competitive Chilling, and How to Dance Alone. We bravely climb the four stories of Isengard, and we watch friends flail joyfully through the air on our infamous Merry&Pippin-Go-Round. The Eye of Sauron guides us all home each night.
The Thrill Chill Cult	6:45 and H	One of us! One of us! Join the coffee cult and be rewarded with delicious treats.
The Tiniest Camp	4:45 and D	The Tiniest Camp wants to go back to the roots of Burning Man of a small camp that can provide a homey feeling to the people passing by. By being tiny, we provide a familiar space where people can interact, such as the Tiny Coffee every morning. 
The Tower of Slackjaw 2019	3:00 and K	60 ft Observation tower art piece
The Twisted Swan	8:20 and E	Irish Pub
Thumper	3:00 and E	Your neighborhood stop for shady drinks and sexy beats.
Tickled Mink	7:45 and D	At Tickled Mink (... where everyone's a star!) we are here to help zhuzh you at our Hollywood minkup mirror vanity before you start channeling your inner diva. If you don't know how, we'll teach you to smeyes like a mink, so once you sink into our fuzzy, plush, cerulean photo throne ("... it's not just blue, it's not turquoise, it's not lapis, it's actually cerulean …") you'll be oh so ready to strike a picture perfect pose as your cover page photo shoot begins. You've never looked more minktacular!
Tierra Bomba	9:15 and F	We bring the South American spice, excitement, and passion from our Latin culture to the playa; with open arms, Tierra Bomba’s purpose is to spread these elements to the Burning man community.
Tiger Man Camp	4:45 and F	Stop by and get a hat or a foam and fur bike seat cover
Time Colony	9:15 and C	Time Colony provides four dimensional nourishment from your local time extrachronologic resource center. Ice cold tea, waffles and sonic screwdrivers are served to travelers Monday-Friday 10:00-12:00 with music, chill art, activities, and fun surprises. Time traveling sandwiches, a late night noodle stand, and a sunrise buffing station, are just a few delights provided to the community by our Time Colonists. 
Tiny Camp	3:15 and B	Have you ever wanted to feel like a giant? A little camp with a big heart - Tiny Camp believes good things come in small packages. We enjoy playing with scale, without sacrificing quality. Enjoy the finest lilliputian cocktails Molly’s MiniBar and explore the treasures on display in the Gallery of Tiny Art. Enjoy a small treat with Micro S’mores, or get even tiner at the Circus Flea Burn.. “To the little things!”
Titicaca	3:45 and D	Fabulous Titicaca beverages, ice cream, Heckle Alley, Compliment Alley, badminton, Bourbon, sex with inflatables, pin the tail on the boner
To Bee or Not to Bee	8:45 and C	Art Support Camp for Bee or Not To Bee art honorarium project 
Top Secret	3:15 and E	Camp Top Secret is bringing casino-themed parties to the Playa. Come try your luck in our casino with roulette, blackjack. Our pole dancers and bar will make your experience unforgettable.
Tortoise Town	6:30 and D	Theme camp for the Green Tortoise 
Totally Legit Camp	8:15 and G
Tour de Chance	2:45 and H	Êtes-vous chanceux? Ride the Playa's largest French-themed bicycle-powered carnival game for marvelous prizes! But vélo at your own risk, some outcomes are risqué.More coming soon! 
Toxic Disco Clam	4:15 and B	In the default world, the Toxic Disco Clam is a real aquatic creature. It uses its luminous lips to attract passing fish... and then it immobilizes them with acidic snot. We're pretty much the same: we draw you in with dazzling lights and entertaining activities, we ply you with our intoxicating beverages, and we hope you never leave (we promise less snot).
Tragic School Bus	7:55 and B
Trailer Trash	5:15 and D	The finest coffee that comes in a can plus fun with rope and string
Trashistan	4:00 and F	Celebrating its 20th year!Featuring the Rant-o-matic, CineTrash Theater, and Tiny Tarot Bar
Traversing Through Dust/Dusty Bridge Support Camp	7:45 and F	Build camp for Traversing Through Bridge/Dusty Bridge Art Installation
Trifecta	6:30 and E	TRIFECTA represents Montreal’s free and bohemian spirit with playful, inclusive interaction, performance and community.
Tropical Treehouse	7:35 and D	Paddle up to our monkey bars and join the ohana with a Mai Tai or Tereré. Aloha!
Tsunami	5:30 and A
UFO	3:30 and G	Come in, sit, relax and enjoy yourself. An oasis on the playa. Come for Ur a Fabulous Organism spa day, or any time for our librsry, couches, shade, oil infused mist, trampoline, and tranquil space.
Uli Baba & the Horny Thieves	7:30 and G	Welcome, Weary Traveler, to the most Glorious Flesh Market in Black Rock City!
Ultimate Celebration	2:45 and E	Ultimate	Celebration	is	a	motley	troupe	of	end-of-the-world	revelatory	players,	merry harbingers	of	Earth's	last	days.	Ultimate	in	the	"final" sense,	to	be	clear,	not	necessarily	"best," though	we	may	have	to	settle	for	"best" if	the	world	keeps	not	ending.	Practice	makes	perfect, or	something	like	that.
UnPlug & Play	8:45 and D	Moroccan Tent
VICE	7:45 and F	Vietnamese Ice Coffee Experience 
VW Bus Camp and Leopard Lounge	3:15 and F	For Metamorphoses VW Bus Camp is bringing back our fabulous Leopard Lounge and Day Spa, Grateful Dyed tie dye party, Mothers’ High Tea, Hooping, Games and Brain Freeze
Vagabonds & Tagalongs	7:45 and C
Valhalla on the Playa	7:15 and F	Viking theme camp with large lounge and bar and yurt for interactive activities. Interactive art and fire art. Many events. Please stop by and visit
Vamp Camp	3:45 and D	@the Playa since 1992 - stop by for a Vamp Juice at our Bar. Enjoy juicy bites
Various Delights	3:30 and I	If this bar was in your hometown, it would be your local that you religiously went out to. We make our drinks from scratch, including the nonalcoholic libations.
Videogasm	7:15 and 2400	Black Rock City’s Playa Theater since 1998! Nightly video screenings on our two big screens. Body painting every afternoon in our shade structure. Cool off in our mister! Play with our oversized games. Drink at one of our daily themed Happy Hours. You Pick it Double Feature chosen by the citizens of BRC (Come by and cast your vote.) Compete in one of our live Game Shows or come tell us your most scandalous gossip and you could end up on BMZ Extra! Live Rocky Horror Picture Show on Friday night! Home of The 48 Hour Film Project BRC. 
Viking Bar	3:45 and B 	Cold craft beer from the Pacific Northwest
Vines Without Borders	4:45 and C	Vines Without Borders is a Burning Man Theme Camp offering an intimate, relaxing wine lounge experience in an uber cool LED lit space. We host a daily wine happy hour starting around 4 PM until.... It's a place folks to kickoff their evenings and have the time, space and atmosphere to connect with their peer burners. We offer wines from around the world and will be home to burners from around the world. Come by and share some time and wine with us.
Vomiting Sparrows	8:30 and B	Bloody Marys, Leonard Palmers, BBQ
VooDooSoup	3:30 and B
Voted Best Camp	2:00 and L	booze, skateboarding, and rock-n-roll
Vulcan Empire	4:45 and F	Hosting fire, flow arts, and circus classes throughout the week and hosting fire spin jams on Monday and Saturday nights
WANDERDUST VILLAGE	2:45 and 2400	White Trash Superstars, Scotch Hop, Dust Bunny Boutique
Wanderers Camp	3:30 and G	Come by for hot dogs, veggie dogs, and Gin & Tonic
Wanderlust Passport Office	5:30 and C	Explore Black Rock City! Record your journey! We provide playa passports you can get stamped at various camps to record your travels. Come for the passports, but stay for our fun events like The Slow Burn, Button Making, and some of the best damn cocktails in the city!If your camp is interested in participating in the passport, please email us at wanderlustpassportoffice@gmail.com  
Wastelanders	3:00 and Portal	We are an oasis of fire and rust in a sea of neon
WherElse	4:45 and J
Where the Sidewalk Ends 	2:45 and F	A theme camp loosely inspired by the poetry of Shel Silverstein.
Whisker Biscuit	2:45 and A
Whiskey & Dust	7:45 and G	We are a whiskey camp with a habitual yoga problem... lots of bizarrely unrelated events and... WHISKEY! This year: Yoga, Tom Waits Happy Hour, Whiskey Tasting, Irish sing-a-long, Goth Night, Bourbon Derby, 2nd annual Leg Wrestling Championship, Belly Dance, Argentine Tango, Hand Jobs, and much more! 
White Dragon Noodle Bar	7:15 and E	Come for noodles, stay for sake, and leave delighted!
White Rabbit Army	8:00 and H
White Trash Superstars	2:45  and 2400
Whomp Wagon 	9:30 and I	A covered Wagon covered in Sub Woofers. 
Whynauts	10:00  and 2400
Wish Maker Camp	6:45 and G	Wish Maker Camp offers a beautiful and comfortable space for people to create their own intentions, remembrances and wishes using burnable art & crafting materials. They can then either add it to our front Wishing Wall and help it grow or bring it to the Temple themselves. We take the wall down on Saturday at sunset as a camp and ride out together to the Temple to leave them in there for the Sunday Burn. We also offer body painting of the 10 Principles' symbols and teaching what each one represents.
Wolf Pack	9:15 and G
Wonder Camp	4:30 and C	repair and massage
Wrong?	6:00 and G	What could go wrong? Our Wrong Advice bar dispences the best advice and we are the caretakers of the Barbie Whorehouse MV.
Wrongo-wrongo	4:45 and I	Your local tiki and moai aficionados. Home of the mutant vehicles Uuna Ahi and Stratovo.
Wrongtown!	4:00 and H	Wrongtown is an international family reunion. Gathering year round at events around the globe. We have members on every Continent and from all walks of life.Our goal is to create a space for our friends and family to experience the playa to its fullest. Providing everything needed to survive on the playa. While we provide everything, we do expect and count on our members to pitch in to build, strike and keep things running during the event.Providing everything to survive allows our campmates to focus on amazing projects and epic performances.
XJOY!	5:30 and C	shop at Playa Mart for forgotten supplies
XUZA Art Car Camp	8:45 and H	XUZA Art Car support Camp
Xpat Alien	6:00 and A	Xpat Alien has searched far and wide, through many galaxies, to find a new place to rest our travel weary heads. Earth fits the bill and we have decided to stay.We bring with us the Crop Circle Cantina, complete with 80’ of circular shade, phenomenal DJs spinning epic tunes, a bar top with stripper poles for dancing shenanigans, six 3-butt benches to relax on, Colorado brewed craft beer and root beer on tap, and glasses full of ice filled with our own Alien Punch.
Yabba Dabba DoMe	3:45 and G	Yabba Dabba DoMe is a fully suspended full size trampoline inside our shaded geodesic frame. 
Yeah Man!	5:15 and C	We have a bar, chill dome, parties, fire dancing, salsa dancing, yoga, twerking and more.
Yes Please	6:45 and C
